Rank Number StuName Sex     Major          Class QQnumber     Referee1 Referee2 Referee3 Referee4 Referee5 Referee6 Referee7 AvgScore 
1    2018012 Peb      Female   Computer        6   43546765438   70       87       87       53       98       70       89       86.60    
2    2018008 Nike     Female   Computer        8   87354647893   57.00    53.00    76.00    47.00    87.00    76.00    76.00    80.80    
3    2018001 Jack     Male     Computer        1   13637589403   87.00    45.00    45.00    56.00    76.00    78.00    87.00    80.60    
4    2018006 Amy      Female   Art             8   45637389372   55.00    98.00    33.00    67.00    90.00    34.00    54.00    79.80    
5    2018011 Bakei    Male     Accounting      9   76546576645   35.00    76.00    67.00    60.00    94.00    13.00    43.00    77.20    
6    2018014 Gerry    Male     Art             9   88456575456   87.00    90.00    78.00    56.00    89.00    56.00    89.00    69.40    
7    2018013 Herry    Male     Computer        7   34465754367   67.00    35.00    65.00    37.00    76.00    43.00    78.00    69.00    
8    2018003 John     Male     Computer        2   13764785478   87.00    87.00    54.00    89.00    78.00    76.00    76.00    68.40    
9    2018009 Hercy    Male     Accounting      7   35476547897   98.00    65.00    65.00    87.00    67.00    57.00    56.00    68.20    
10   2018002 Mary     Female   Computer        1   15894627890   65.00    43.00    65.00    75.00    65.00    50.00    78.00    67.60    
11   2018010 Xel      Male     Computer        8   92757678976   67.00    48.00    78.00    43.00    97.00    98.00    96.00    64.00    
12   2018004 Brown    Male     Accounting      2   15573894767   87.00    98.00    76.00    95.00    67.00    97.00    78.00    60.00    
13   2018007 Mike     Male     Computer        6   35674653425   45.00    98.00    56.00    54.00    67.00    90.00    78.00    57.60    
14   2018005 Sarah    Female   Computer        3   19873636475   67.00    54.00    76.00    56.00    75.00    92.00    73.00    56.20    
