Rank Number StuName Sex     Major          Class QQnumber     Referee1 Referee2 Referee3 Referee4 Referee5 Referee6 Referee7 AvgScore 
1    2018012 Peb      女      Computer        6   43546765438   87.00    98.00    76.00    99.00    67.00    97.00    78.00    87.20    
2    2018008 Nike     男      Computer        8   87354647893   87.00    87.00    54.00    89.00    78.00    76.00    76.00    80.80    
3    2018001 Jack     男      Computer        1   13637589403   70.00    87.00    87.00    53.00    98.00    70.00    89.00    80.60    
4    2018006 Amy      女      Art             1   45637389372   87.00    90.00    78.00    56.00    89.00    56.00    89.00    79.80    
5    2018015 Charles  男      Music           6   56478321389   89.00    69.00    78.00    48.00    78.00    78.00    89.00    78.40    
6    2018011 Bakei    男      Accounting      9   76546576645   67.00    48.00    78.00    43.00    97.00    98.00    96.00    77.20    
7    2018024 Yet      男      Computer        4   23874646747   78.00    57.00    77.00    87.00    66.00    99.00    37.00    73.00    
8    2018025 Alter    男      Computer        7   87324665747   65.00    91.00    33.00    99.00    88.00    22.00    87.00    72.80    
9    2018013 Herry    男      Computer        7   34465754367   45.00    98.00    78.00    54.00    67.00    90.00    65.00    70.80    
10   2018014 Gerry    男      Art             1   88456575456   67.00    54.00    75.00    56.00    75.00    92.00    78.00    70.20    
11   2018003 John     男      Computer        2   13764785478   87.00    45.00    45.00    56.00    76.00    78.00    87.00    68.40    
12   2018009 Hercy    男      Accounting      7   35476547897   98.00    65.00    65.00    87.00    67.00    57.00    56.00    68.20    
13   2018002 Mary     女      Computer        1   15894627890   57.00    53.00    76.00    47.00    87.00    76.00    76.00    67.60    
14   2018010 Xel      男      Computer        8   92757678976   65.00    43.00    65.00    75.00    65.00    50.00    78.00    64.00    
15   2018004 Brown    男      Accounting      2   15573894767   55.00    98.00    40.00    67.00    90.00    34.00    54.00    61.20    
16   2018023 Mak      女      Art             1   34268637677   67.00    56.00    66.00    66.00    45.00    88.00    45.00    60.00    
17   2018007 Mike     男      Computer        6   35674653425   67.00    35.00    65.00    37.00    76.00    43.00    78.00    57.60    
18   2018005 Sarah    女      Computer        3   19873636475   35.00    76.00    67.00    60.00    94.00    13.00    43.00    56.20    
19   2018021 Mab      男      Computer        7   89457984375   45.00    89.00    83.00    23.00    44.00    33.00    36.00    48.20    
20   2018022 Pat      男      Music           1   73462876585   33.00    67.00    64.00    56.00    22.00    55.00    23.00    46.20    
21   2018017 James    女      Art             1   48465484654   45.00    58.00    65.00    47.00    19.00    39.00    28.00    43.40    
22   2018020 Martin   女      Computer        7   98798456465   45.00    29.00    47.00    85.00    23.00    67.00    26.00    42.80    
23   2018019 Joseph   女      Music           1   21354654885   57.00    47.00    14.00    26.00    20.00    34.00    48.00    35.00    
24   2018018 Bush     男      Accounting      9   51354681321   25.00    45.00    25.00    18.00    25.00    38.00    17.00    26.20    
25   2018016 Mark     男      Computer        5   67785634869   0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     
